name,start_time,end_time,area_name
Salon 1,13:00:00,21:10:00,Ing. Ciencias y Sistemas
Salon TICS,13:00:00,21:10:00,Ing. Civil
Salon 3,13:00:00,21:10:00,Ing. Civil
Laboratorio de Fisica,13:00:00,21:10:00,Ing. Industrial
Salon 5,13:00:00,21:10:00,Area comun
Salon 6,13:00:00,21:10:00,Ing. Civil
Salon 7,13:00:00,21:10:00,Area comun
Salon 8,13:00:00,21:10:00,Ing. Civil
Salon 9,13:00:00,21:10:00,Ing. Industrial
Salon 10,13:00:00,21:10:00,Ing. Ciencias y Sistemas
Salon 11,13:00:00,21:10:00,Area comun
Salon 12,13:00:00,21:10:00,Ing. Civil
Salon 13,13:00:00,21:10:00,Ing. Industrial
Salon de Proyecciones,13:00:00,21:10:00,Ing. Ciencias y Sistemas
Laboratorio de Ingenieria Electrica,13:00:00,21:10:00,Ing. Mecanica
Laboratorio de Ingenieria Industrial,13:00:00,21:10:00,Ing. Industrial
Salon Hugo Pineda,13:00:00,21:10:00,Area comun
Salon Mayor,13:00:00,21:10:00,Area comun
Salon de Dibujo,13:00:00,21:10:00,Ing. Civil
Cancha deportiva,13:00:00,21:10:00,Area comun
Laboratorio de Quimica,13:00:00,21:10:00,Area comun
Laboratorio de Aguas,13:00:00,21:10:00,Area comun