aux_id,start_time,end_time,area_name
1,14:30:00,18:40:00,Ing. Ciencias y Sistemas
2,18:40:00,21:10:00,Ing. Ciencias y Sistemas
3,14:30:00,18:40:00,Ing. Ciencias y Sistemas
4,16:10:00,18:40:00,Ing. Ciencias y Sistemas
4,14:30:00,16:10:00,Area comun
5,18:40:00,19:30:00,Ing. Ciencias y Sistemas
5,15:20:00,16:00:00,Ing. Industrial
6,14:30:00,17:00:00,Ing. Industrial
6,17:00:00,18:40:00,Ing. Ciencias y Sistemas
7,14:30:00,19:30:00,Ing. Industrial
8,14:30:00,19:30:00,Ing. Industrial
9,14:30:00,19:30:00,Ing. Industrial
10,14:30:00,16:10:00,Ing. Ciencias y Sistemas
10,16:10:00,17:00:00,Area comun
11,14:30:00,16:10:00,Area comun
11,16:10:00,18:40:00,Ing. Industrial
12,13:40:00,18:40:00,Area comun
13,14:30:00,17:00:00,Area comun
14,14:30:00,16:10:00,Area comun
15,16:10:00,18:40:00,Ing. Industrial
16,16:10:00,19:30:00,Area comun
17,19:30:00,9:10:00,Ing. Civil
18,16:10:00,18:40:00,Area comun
19,15:20:00,18:40:00,Ing. Civil
20,15:20:00,18:40:00,Area comun
20,18:40:00,19:30:00,Ing. Mecanica
21,15:20:00,18:40:00,Area comun
22,15:20:00,18:40:00,Area comun
23,14:30:00,18:40:00,Area comun
24,8:00:00,11:20:00,Area comun
25,14:30:00,18:40:00,Area comun
26,14:30:00,16:10:00,Area comun
26,16:10:00,19:30:00,Ing. Mecanica
27,14:30:00,17:00:00,Area comun
28,16:10:00,17:00:00,Area comun
29,14:30:00,17:00:00,Area comun
29,17:00:00,19:30:00,Ing. Civil
30,14:30:00,20:20:00,Area comun
31,14:30:00,20:20:00,Area comun
32,16:10:00,19:30:00,Area comun
32,19:30:00,21:10:00,Ing. Mecanica
33,14:30:00,15:20:00,Area comun
33,15:20:00,17:00:00,Ing. Ciencias y Sistemas
34,15:20:00,19:30:00,Ing. Industrial
35,14:30:00,19:30:00,Ing. Civil
36,14:30:00,19:30:00,Ing. Civil
37,14:30:00,17:00:00,Area comun
38,14:30:00,18:40:00,Ing. Civil
39,13:40:00,17:00:00,Ing. Civil
40,13:40:00,19:30:00,Ing. Civil
41,15:20:00,19:30:00,Ing. Civil
42,15:20:00,19:30:00,Ing. Industrial
43,15:20:00,17:00:00,Ing. Industrial
44,17:00:00,21:10:00,Ing. Industrial
45,13:40:00,19:30:00,Ing. Industrial
46,15:20:00,17:00:00,Ing. Industrial
47,15:20:00,18:40:00,Ing. Industrial
14,10:30:00,12:10:00,Ing. Mecanica Industrial